Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,532.0284315,568.4032016,593.4467457,591.0326434,739.3450933,908.6745473,1067.814156,1098.483166,1065.767398,1142.965355,1123.968106,1096.873229,1070.690164,1018.100288,796.3539738,1420.614795,1161.951677,1005.93953,1021.3935,552.2521848,418.453589,453.6440739,536.3638251,596.4079593,663.7839954,904.3466403,694.6648028,734.8499135,1414.703784,1449.647413,1351.230796,1578.165919,1469.264539,1797.525487,1722.07285,1218.360146,1213.124369,1617.744156,1835.684072,1943.343354,2205.70392,2118.327776,2533.252829,2309.366503,..,..,..,..,..,..,..,..,..
Algeria,DZA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,141.2163301,151.3820684,168.8426769,182.1125077,207.288969,229.1401698,240.8910111,288.4564745,325.2266011,341.2124807,374.8561967,417.9173996,428.5412354,451.4861788,475.4517155,492.8887249,461.8313278,488.5618703,529.5606029,539.6083908,540.9434719,568.1867684,555.1920428,557.4226155,565.5740069,575.1033202,578.8845382,621.3454902,655.9942173,686.3536578,711.8139443,733.2090636,788.5735803,805.6813036,891.714578,862.8784874,893.6976285,944.9417484,862.4856634,1010.715195,1115.96836,1229.341655,1269.791817,1353.091648,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,92.80429544,101.712561,115.5195688,139.4146129,143.0670148,62.05241691,59.99046985,57.94053216,60.14878924,62.20899468,59.98382808,61.70266446,64.62634577,53.25741782,61.76424873,59.56930603,57.82131936,56.25482275,54.63332409,54.18720907,55.47456159,54.49257034,53.01261739,51.62356099,50.146798,51.9371535,70.32544035,74.27749306,72.82714531,76.19697325,83.59602389,86.97057815,96.80271284,88.27756229,110.102238,145.6887011,134.0805073,173.3194214,190.0978431,206.9987647,207.0330797,218.6485226,278.6098705,309.7114077,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,874.5441767,925.6490986,962.6684974,993.2701529,1011.667765,1031.797732,1080.114247,1090.550925,1212.852383,1238.522789,1192.314815,1203.245912,1253.634915,1295.311239,1283.769576,1325.490929,1408.997039,1447.206737,1315.331672,1298.514121,1341.456684,1403.504002,1488.900576,1567.163509,1637.524016,1715.108268,1833.075084,1950.520251,2015.671721,2069.54461,2100.900137,1996.063619,2161.237522,2274.170214,2388.543335,2354.19033,2435.254446,2749.247801,2705.261466,2842.787907,2896.143986,2970.111206,2940.929545,3049.362763,..,..,..,..,..,..,..,..,..
Armenia,ARM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2711.895517,2608.760377,1891.730949,1163.803538,1020.326279,1021.592517,1178.80829,1456.432252,1267.92131,1275.224277,1236.534103,1205.554518,1172.260766,1252.160251,1365.603969,1441.647597,1551.277541,1673.424728,1572.349454,1564.905414,1631.305833,1716.701344,1804.503819,1851.753805,1895.613511,..,..,..,..,..,..,..,..,..
Aruba,ABW,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
