country,life_exp,gdp_per_cap,lit_rate,fertility,land_area
Afghanistan,66.035,2201.72290691677,37,4.84,652230
Albania,79.602,23487.9936251703,98.5,1.348,27400
Algeria,76.261,17552.7742475631,81.4078369140625,2.766,2381741
Angola,64.617,8347.95279117055,72.4000015258789,5.124,1246700
Antigua and Barbuda,77.598,33602.3539957929,99,1.578,440
Argentina,77.395,30175.5359656699,97,1.5,2736690
Armenia,77.4658536585366,22823.1795255692,100,1.9,28470
Aruba,76.353,44967.3445127082,97.9899978637695,1.602,180
Azerbaijan,74.429,25088.9501767555,100,1.55,82650
Bahrain,81.284,67210.9890947485,98,1.824,790
Bangladesh,74.672,9646.76984383255,76,2.163,130170
Barbados,76.178,22671.9466863479,99.5,1.708,430
Belarus,74.1837804878049,33006.4166677827,100,1.208,202990
Belize,73.566,15092.7808546669,90.9160385131836,2.007,22810
Benin,60.774,4434.5642184028,47.0999984741211,4.556,112760
Bhutan,72.975,16253.9629503074,72.0999984741211,1.462,38140
Bolivia,68.581,11189.8055097036,94,2.547,1083300
Bosnia and Herzegovina,77.85,21971.0503961563,98.3000030517578,1.486,51200
Botswana,69.163,20538.1320160386,86.8231811523438,2.732,566730
Brazil,75.848,22333.4116642585,94.6900024414062,1.619,8358140
Brunei Darussalam,75.327,90007.077485547,97.5899963378906,1.747,5270
Bulgaria,75.7073170731707,41086.1194132913,98.4199981689453,1.81,108560
Burkina Faso,61.092,2896.18741593759,34.4900016784668,4.186,273600
Burundi,63.651,949.834613118208,75.5400009155273,4.878,25680
Cabo Verde,76.059,11261.7706486365,91,1.522,4030
Cambodia,70.668,7969.93361077408,83.7799987792969,2.579,176520
Cameroon,63.7,5591.49639781706,78.2300033569336,4.322,472710
Cayman Islands,80.358,86689.2088816431,99,1.531,240
Central African Republic,57.408,1263.59554279079,37.4900016784668,6.012,622980
Chad,55.069,2961.9319239201,27.2800006866455,6.12,1259200
Chile,81.167,34637.1168279143,97.1600036621094,1.167,743532
China,77.953,27104.8702677463,97,0.999,9388210
Colombia,77.725,21494.6002713853,96,1.645,1109500
